"edrpou","name"
131587,"Кам.-Бузький РЕМ"
131587,"ПАТ Львівобленерго Пуст. ВЕП"
131587,"ПАТ""Львiвобленерго""Пустом.вiддiл."
131587,"ПАТ ""Львівобленерго"" Яворівське ВЕП"
131587,"ПАТ""Львівобленерго"" Жидачівське відділ"
131587,"ПАТ Львівобленерго(реактивна ен)"
131587,"ПАТ ""Львівобленерго"""
131587,"ПАТ""Львівобленерго""Явор.відділення еле"
131587,"ПАТ ""Львівобленерго"" Яворів РЕМ"
131587,"ПАТ ""Львівобленерго""Явор.відд.електроп"
131587,"Городоцький ВЕП"
131587,"ПАТ""Львівобленерго""Золочів ВЕП"
131587,"Яворівський РЕМ"
131587,"ПАТ ""Львівобленерго"" Самбірський РЕМ"
131587,"ПАТ ""Львівобленерго"" Сколівське ВЕП"
131587,"ПАТ Львівобленерго  Городоцьке відд.ел"
131587,"ПАТ""Львівобленерго"""
131587,"ПАТ ""Львівобленерго"" Миколаївський РЕМ"
131587,"ПАТ ""Львівобленерго"" Скол.ВЕП"
131587,"ПАТ Львівобленерго Радехівський ВЕП"
131587,"ПАТ""Львівобленерго""Пустомитівське від."
131587,"ПАТ Львівобленерго ""Миколаївський РЕМ"""
131587,"ПАТ ""Львівобленерго"" Турківське ВЕП"
131587,"ПАТ ""Львівобленерго""Сколівський ВЕП"
131587,"ПАТ ""Львівобленерго"" Жидачівський РЕМ"
131587,"ПАТ ""Львівобленерго"" Бродівське ВЕП"
131587,"ПАТ ""Львівобленерго"" Жидачівське ВЕП"
131587,"Миколаїв ВЕП ПАТ ""Львівобленерго"""
131587,"Львів енерго  Турківське ВЕП"
131587,"ПАТ ""Львівобленерго"" Миколаївське ВЕ"
131587,"Жовківський РЕМ ПАТ  ""Львівобленерго"""
131587,"Жидачів РЕМ"
131587,"Бродівське ВЕП"
131587,"ПАТ"" Львівобленерго""Городоцький  РЕМ"""
131587,"Самбірське ВЕП"
131587,"Публ. акціон.товар.""Львівобленерго"""
131587,"ПАТ""Львівобленерго""СВЕ"
131587,"ПАТ ""Львівобленерго""Самбірський ВЕП"
131587,"ПАТ""Львівобленерго""Сколів.відд.енергоп"
131587,"ПАТ ""Львівобленерго""Сколівське ВЕП"
131587,"ПАТ""Львівобленерго""Сколівське ВЕП"
131587,"ПАТ ""Львівобленерго"" Сколівське відділ"
131587,"ПАТ""Львівобленерго""Скол.відділення"
131587,"ПАТ''Львівобленерго'' Мостиське відділ"
131587,"ПАТ ""Львівобленерго"" К.-Бузький РЕМ"
131587,"ПАТ ""Львівобленерго""Пустом.відділ."
131618,"ДТЕК Добротвірська ТЕС"
131713,"ПАТ""Одесаобленерго""Овідіопол.РЕМ"
131713,"Сарата РЕС"
131713,"ПАТ""Одесаобленерго"""
131713,"ПАТ ""Одесаобленерго"""
131713,"ПАТ""Одесаобленєрго"""
131713,"ПАТ""ЕК ""Одесаобленерго"""
131713,"ПАТ ЕК""Одесаобленерго""Комiнтернiв РЕМ"
131713,"ПАТ Одесаобленерго"
131713,"ПАТ ""Одесобленерго"""
131713,"Iзмаїльський РЕМ"
131713,"ПАТ""Одессаобленерго"" Килийский РЄС"
131713,"ПАТ ""ОДЕСАОБЛЕНЕРГО""Кiлiйск.РЕМ"
131713,"ПАТ ""ОДЕСАОБЛЕНЕРГО"""
131713,"ПАТ""ОДЕСАОБЛЕНЕРГО"""
131713,"ПАТ "" Одесаобленерго """
131713,"ПАТ ЕК""Одесаобленерго"""
131713,"ПАТ Олесаобленерго"
131713,"ВАТ ""Одесаобленерго"" Татарбун. РЕМ"
131713,"ПАТ ""ЕК Одесаобленерго"""
131713,"ПАТ""Одесаобленерго""Iзмаїльський РЕМ"
131713,"ПАТ ""Одесаобленерго"" Iванiвський РЕМ"
131713,"ПАТ ЕК ""Одесаобленерго"""
131713,"ВАТ ""Одесобленерго"""
131713,"ПАТ ""ЕК ""Десаобленерго"""
131771,"ПАТ ""ХТЕЦ"""
131771,"ПАТ ""Херсонська ТЕЦ"""
131771,"ПАТ Херсонська ТЕЦ"
