"mfo","name"
320371,"ВАТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""       "
300498,"АКЦІОНЕР.БАНК ""НАЦІОНАЛЬНІ ІНВЕСТИЦІЇ"""
325718,"ВАТ""ДЕРЖ.ЕКС-ІМП.БАHК УКРАЇHИ"",м.ЛЬВІВ"
328094,"ФАКБ ""ІНВЕСТБАНК"", М.ОДЕСА            "
328618,"Ф-Я ВАТ ""УКРЕКСІМБАНК"", ОДЕСА         "
328704,"Ф-Я ЮЖ. ГОЛ.РЕГ.УПР.ЗАТ КБ""ПРИВАТБАНК"""
328823,"Ф-я КБ ""Фінанси та Кредит"" в м. Одесі "
328629,"ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",ІЗМАЇЛ"
333368,"Рiвне, Операцiйний вiддiл Ощадбанку   "
333391,"Рівнен.Ф-я  ""ПРИВАТБАНК""              "
333539,"Ф-яВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",РІВН"
338783,"ТЕРНОПІЛЬСЬКА ФІЛІЯ ЗАТ КБ""ПРИВАТБАНК"""
338545,"Тернопiль Облуправлiння ОБ            "
338879,"ФІЛІЯ ВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКР.""ТЕРН."
315405,"ХМ.Ф.ЗАТ КБ""ПРИВАТБАНК"" М.ХМЕЛЬНИЦЬКИЙ"
354789,"ФАТВТ ""УКРЕКСІМБАНК"" У М.ЧЕРКАСАХ     "
380407,"ФІЛІЯ №3 ВАТ""АКБ "" КАПІТАЛ"" У М.КИЄВІ "
356282,"ЧЕРНІВЕЦЬКА ФІЛІЯ ЗАТ КБ ""ПРИВАТБАНК"" "
350589,"ХОД АППБ ""АВАЛЬ"" М.ХАРКІВ             "
351607,"АКЦ.СХІДНО-УКРАЇН.БАНК""ГРАНТ"",М.ХАРКІВ"
353586,"Ф""ЧЕРНІГІВ.РУ""КБ""ПРИВАТБАНК""М.ЧЕРНІГІВ"
353649,"ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",ЧЕРНІГ"
353100,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВ-ВО""ПОЛІКОМБАНК"""
351447,"УПР.НБУ В ХАРКІВСЬКІЙ ОБЛАСТІ,М.ХАРКІВ"
351254,"АК РЕГ. БАНК  ""РЕГІОН-БАНК"", ХАРКІВ   "
322302,"ВАТ ""АГРАРНИЙ КОМЕРЦІЙНИЙ БАНК""       "
322540,"ТОВ ""КОМ.ІHДУСТРІАЛЬHИЙ БАНК"", М.КИЇВ "
380355,"ТОВ КБ ""ЄВРОБАНК"" У М.КИЄВІ           "
307350,"ЗАТ""АКБ""КОНКОРД"" У М.ДНІПРОПЕТРОВСЬКУ "
305880,"КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ"" м.Дніпропетров."
380311,"ВАТ ""ФІНЕКСБАНК"", М.КИЇВ              "
335957,"ФІЛІЯ ВАТ ""УКРЕКСІМБАНК"", М.МАРІУПОЛЬ "
305987,"ЗАТ ""ФІHАHСОВИЙ СОЮЗ БАHК""            "
320735,"АКБ ""ІНТЕГРАЛ"", М.КИЇВ                "
313979,"ФВАТ""УКРЕКСІМБАНК"" В М.ЗАПОРІЖЖІ      "
322539,"АКБ ""ЮHЕКС"", м.Київ                   "
320906,"АК ""ПРОМИСЛОВО-ФIНАНСОВИЙ БАНК""       "
328685,"АКБ ""Фінбанк"" м.Одеси                 "
306500,"ЗАТ АБ ""РАДАБАНК"", М.ДНІПРОПЕТРОВСЬК  "
328027,"УПРАВЛІННЯ НБУ В ОДЕСЬКІЙ ОБЛАСТІ     "
325622,"УПРАВЛІННЯ НБУ У ЛЬВІВСЬКІЙ ОБЛАСТІ   "
380010,"ТОВ ""БАНК РЕНЕСАНС КАПІТАЛ"", М.КИЇВ   "
380593,"КИЇВСЬКА ФІЛІЯ КБ ТОВ ""МІСТО БАНК""    "
356271,"ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",ЧЕРНІВ"
380106,"ЗАТ ""АКБ ""ТРАСТ-КАПІТАЛ""              "
322830,"АКБ ""ТК КРЕДИТ"", м.Київ               "
380292,"ЗАТ ""ЄБРФ"", КИЇВ                      "
380377,"УКР.БУДІВЕЛЬНО-ІНВЕСТИЦІЙНИЙ БАНК     "
322335,"АКЦІОНЕРНИЙ БАНК ""АРКАДА"" ,М. КИЇВ    "
322799,"АКЦІОНЕРНЕ ТОВАРИСТВО  БАНК ""ВЕЛЕС""   "
